acceptance_id,module_id,phase,assertion,fixture,execution,expected_result,status,build_id,environment,evidence,reviewer
M03-AC01,M03,P1,A 租户使用 B 租户 ID 调用列表、详情、导出和附件接口均不可读取数据。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,A 租户使用 B 租户 ID 调用列表、详情、导出和附件接口均不可读取数据。,NOT_RUN,,,,
M03-AC02,M03,P1,撤销成员后，网页会话、机器令牌、后台任务和搜索结果均按定义时限失效。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,撤销成员后，网页会话、机器令牌、后台任务和搜索结果均按定义时限失效。,NOT_RUN,,,,
M03-AC03,M03,P1,数据库连接复用不会携带上一个请求的项目上下文。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,数据库连接复用不会携带上一个请求的项目上下文。,NOT_RUN,,,,
M03-AC04,M03,P1,仅有站点管理权限的用户不能自动查看项目测试证据。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,仅有站点管理权限的用户不能自动查看项目测试证据。,NOT_RUN,,,,
M03-AC05,M03,P1,SSO 失败或身份提供方不可用时不降级到无认证访问。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,SSO 失败或身份提供方不可用时不降级到无认证访问。,NOT_RUN,,,,
M04-AC01,M04,P1/P2,同一非法值从 UI、REST 和导入进入都得到相同业务错误。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,同一非法值从 UI、REST 和导入进入都得到相同业务错误。,NOT_RUN,,,,
M04-AC02,M04,P1/P2,停用已使用选项后，历史记录仍可读且不允许新选用。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,停用已使用选项后，历史记录仍可读且不允许新选用。,NOT_RUN,,,,
M04-AC03,M04,P1/P2,注入式过滤表达式不执行 SQL，也不泄露数据库信息。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,注入式过滤表达式不执行 SQL，也不泄露数据库信息。,NOT_RUN,,,,
M04-AC04,M04,P1/P2,字段类型变更发现不兼容记录时阻止切换并提供错误清单。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,字段类型变更发现不兼容记录时阻止切换并提供错误清单。,NOT_RUN,,,,
M04-AC05,M04,P1/P2,无字段权限的用户在报表、搜索和导出中也无法看到该字段。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,无字段权限的用户在报表、搜索和导出中也无法看到该字段。,NOT_RUN,,,,
M05-AC01,M05,P1/P2,恶意文件和扫描未完成文件不可下载或执行。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,恶意文件和扫描未完成文件不可下载或执行。,NOT_RUN,,,,
M05-AC02,M05,P1/P2,运行引用的文件更新后，原运行仍能下载原版本。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,运行引用的文件更新后，原运行仍能下载原版本。,NOT_RUN,,,,
M05-AC03,M05,P1/P2,删除被保留锁占用的附件被拒绝并返回引用原因。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,删除被保留锁占用的附件被拒绝并返回引用原因。,NOT_RUN,,,,
M05-AC04,M05,P1/P2,上传断网恢复不会产生重复已发布版本。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,上传断网恢复不会产生重复已发布版本。,NOT_RUN,,,,
M05-AC05,M05,P1/P2,不同租户上传相同内容不会暴露文件存在性或共享下载权限。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,不同租户上传相同内容不会暴露文件存在性或共享下载权限。,NOT_RUN,,,,
M06-AC01,M06,P1/P2,周期超出发布日期范围时按政策拒绝或要求授权调整。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,周期超出发布日期范围时按政策拒绝或要求授权调整。,NOT_RUN,,,,
M06-AC02,M06,P1/P2,同一用例在两个发布中分别统计，不重复计算同一范围的测试实例。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,同一用例在两个发布中分别统计，不重复计算同一范围的测试实例。,NOT_RUN,,,,
M06-AC03,M06,P1/P2,已签批里程碑不会因后来修订用例而改变。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,已签批里程碑不会因后来修订用例而改变。,NOT_RUN,,,,
M06-AC04,M06,P1/P2,跨时区查询使用相同统计边界，日期无一天偏移。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,跨时区查询使用相同统计边界，日期无一天偏移。,NOT_RUN,,,,
M06-AC05,M06,P1/P2,人工放行必须记录原因、审批人和当时的质量快照。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,人工放行必须记录原因、审批人和当时的质量快照。,NOT_RUN,,,,
M07-AC01,M07,P1,两人基于相同版本修改需求，第二次提交收到 412 且原文不丢失。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,两人基于相同版本修改需求，第二次提交收到 412 且原文不丢失。,NOT_RUN,,,,
M07-AC02,M07,P1,目录移动制造环时返回错误，不会挂死树查询。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,目录移动制造环时返回错误，不会挂死树查询。,NOT_RUN,,,,
M07-AC03,M07,P1,评审通过后修订正文会生成新修订并使旧评审保持原样。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,评审通过后修订正文会生成新修订并使旧评审保持原样。,NOT_RUN,,,,
M07-AC04,M07,P1,需求关联测试后再变更，界面显示需要重新确认的覆盖关系。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,需求关联测试后再变更，界面显示需要重新确认的覆盖关系。,NOT_RUN,,,,
M07-AC05,M07,P1,导入中一条非法记录不会无提示地影响其他数据，结果可重试。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,导入中一条非法记录不会无提示地影响其他数据，结果可重试。,NOT_RUN,,,,
M08-AC01,M08,P1/P2,测试步骤调序后历史运行仍显示原顺序和原文本。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,测试步骤调序后历史运行仍显示原顺序和原文本。,NOT_RUN,,,,
M08-AC02,M08,P1/P2,三个配置分别产生三个可追踪实例，不覆盖同一个结果。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,三个配置分别产生三个可追踪实例，不覆盖同一个结果。,NOT_RUN,,,,
M08-AC03,M08,P1/P2,被调用测试形成环时禁止发布和执行。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,被调用测试形成环时禁止发布和执行。,NOT_RUN,,,,
M08-AC04,M08,P1/P2,编辑锁失效后旧编辑者不能覆盖新版本。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,编辑锁失效后旧编辑者不能覆盖新版本。,NOT_RUN,,,,
M08-AC05,M08,P1/P2,密钥参数不进入日志、导出、运行截图元数据或 API 明文响应。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,密钥参数不进入日志、导出、运行截图元数据或 API 明文响应。,NOT_RUN,,,,
M09-AC01,M09,P1,重跑通过仍保留第一次失败及证据，汇总可选择最新有效尝试。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,重跑通过仍保留第一次失败及证据，汇总可选择最新有效尝试。,NOT_RUN,,,,
M09-AC02,M09,P1,运行中修改用例不改变本次执行内容。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,运行中修改用例不改变本次执行内容。,NOT_RUN,,,,
M09-AC03,M09,P1,关闭浏览器重开后可从最近确认步骤继续，未同步数据明确提示。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,关闭浏览器重开后可从最近确认步骤继续，未同步数据明确提示。,NOT_RUN,,,,
M09-AC04,M09,P1,重复提交同一步骤不会产生重复证据引用或重复缺陷。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,重复提交同一步骤不会产生重复证据引用或重复缺陷。,NOT_RUN,,,,
M09-AC05,M09,P1,已结束运行不能被直接覆盖，所有更正保留原因和前值。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,已结束运行不能被直接覆盖，所有更正保留原因和前值。,NOT_RUN,,,,
M10-AC01,M10,P1,没有修复说明的缺陷不能通过受限转换直接关闭。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,没有修复说明的缺陷不能通过受限转换直接关闭。,NOT_RUN,,,,
M10-AC02,M10,P1,通过 UI 与 API 转换状态产生相同审计和业务校验。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,通过 UI 与 API 转换状态产生相同审计和业务校验。,NOT_RUN,,,,
M10-AC03,M10,P1,重复点击从运行建缺陷只生成一个缺陷及一条关联。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,重复点击从运行建缺陷只生成一个缺陷及一条关联。,NOT_RUN,,,,
M10-AC04,M10,P1,被标为重复的缺陷不会产生重复统计，原始记录仍可追溯。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,被标为重复的缺陷不会产生重复统计，原始记录仍可追溯。,NOT_RUN,,,,
M10-AC05,M10,P1,跨项目共享对象不暴露源项目不可见附件、评论和自定义字段。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,跨项目共享对象不暴露源项目不可见附件、评论和自定义字段。,NOT_RUN,,,,
M11-AC01,M11,P1/P2,有测试关联但尚未执行的需求，不计入已通过覆盖。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,有测试关联但尚未执行的需求，不计入已通过覆盖。,NOT_RUN,,,,
M11-AC02,M11,P1/P2,需求更新后旧覆盖显示可疑，确认操作绑定新旧版本。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,需求更新后旧覆盖显示可疑，确认操作绑定新旧版本。,NOT_RUN,,,,
M11-AC03,M11,P1/P2,同一需求关联多配置时指标不会无意放大分母。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,同一需求关联多配置时指标不会无意放大分母。,NOT_RUN,,,,
M11-AC04,M11,P1/P2,不存在或跨租户的端点不能插入关系表。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,不存在或跨租户的端点不能插入关系表。,NOT_RUN,,,,
M11-AC05,M11,P1/P2,重建投影后与源关系及运行数据结果一致。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,重建投影后与源关系及运行数据结果一致。,NOT_RUN,,,,
M12-AC01,M12,P1/P2,包含 =、+、-、@ 公式前缀的表格单元格导出为安全文本。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,包含 =、+、-、@ 公式前缀的表格单元格导出为安全文本。,NOT_RUN,,,,
M12-AC02,M12,P1/P2,用户撤权后不能下载此前创建的导出文件。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,用户撤权后不能下载此前创建的导出文件。,NOT_RUN,,,,
M12-AC03,M12,P1/P2,重复消息只产生一次用户通知或在日志中明确去重。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,重复消息只产生一次用户通知或在日志中明确去重。,NOT_RUN,,,,
M12-AC04,M12,P1/P2,分享过滤器不会继承分享者的项目权限。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,分享过滤器不会继承分享者的项目权限。,NOT_RUN,,,,
M12-AC05,M12,P1/P2,百万行导出异步执行，取消后临时文件按策略清理。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,百万行导出异步执行，取消后临时文件按策略清理。,NOT_RUN,,,,
M13-AC01,M13,P1/P2,通过 API 直接写入也受必填、权限及状态规则限制。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,通过 API 直接写入也受必填、权限及状态规则限制。,NOT_RUN,,,,
M13-AC02,M13,P1/P2,无限循环和网络访问表达式被沙箱中止，主服务不受影响。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,无限循环和网络访问表达式被沙箱中止，主服务不受影响。,NOT_RUN,,,,
M13-AC03,M13,P1/P2,流程发布后正在进行的运行仍引用原流程版本。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,流程发布后正在进行的运行仍引用原流程版本。,NOT_RUN,,,,
M13-AC04,M13,P1/P2,同一通知动作重试不会重复发送不可接受的业务消息。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,同一通知动作重试不会重复发送不可接受的业务消息。,NOT_RUN,,,,
M13-AC05,M13,P1/P2,同一输入运行规则模拟器两次得到同样输出和事件次序。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,同一输入运行规则模拟器两次得到同样输出和事件次序。,NOT_RUN,,,,
M14-AC01,M14,P2,创建基线时并发修改用例，最终快照不混入不同时间的步骤或关系。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,创建基线时并发修改用例，最终快照不混入不同时间的步骤或关系。,NOT_RUN,,,,
M14-AC02,M14,P2,基线依赖库外测试资源时，该资源版本也进入清单。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,基线依赖库外测试资源时，该资源版本也进入清单。,NOT_RUN,,,,
M14-AC03,M14,P2,基线 READY 前不能启动固定基线运行。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,基线 READY 前不能启动固定基线运行。,NOT_RUN,,,,
M14-AC04,M14,P2,删除正在被运行或签名引用的基线被阻止。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,删除正在被运行或签名引用的基线被阻止。,NOT_RUN,,,,
M14-AC05,M14,P2,固定基线的保留历史策略有明确差异记录，测试不冒称与原产品所有行为一致。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,固定基线的保留历史策略有明确差异记录，测试不冒称与原产品所有行为一致。,NOT_RUN,,,,
M15-AC01,M15,P1/P2,手工计算的覆盖率与页面、API、导出一致。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,手工计算的覆盖率与页面、API、导出一致。,NOT_RUN,,,,
M15-AC02,M15,P1/P2,重跑三次的实例在最新有效尝试口径下只计算一次。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,重跑三次的实例在最新有效尝试口径下只计算一次。,NOT_RUN,,,,
M15-AC03,M15,P1/P2,无权项目不影响返回总数、图表、筛选选项或缓存命中。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,无权项目不影响返回总数、图表、筛选选项或缓存命中。,NOT_RUN,,,,
M15-AC04,M15,P1/P2,报表缓存过期或投影落后时明确显示数据水位。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,报表缓存过期或投影落后时明确显示数据水位。,NOT_RUN,,,,
M15-AC05,M15,P1/P2,相同快照在升级后仍可重现，不能只保存一个失效查询链接。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,相同快照在升级后仍可重现，不能只保存一个失效查询链接。,NOT_RUN,,,,
M16-AC01,M16,P1/P2,两台节点同时领取任务仅有一台获得有效租约。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,两台节点同时领取任务仅有一台获得有效租约。,NOT_RUN,,,,
M16-AC02,M16,P1/P2,过期节点回传 PASS 被拒绝，不覆盖有效新尝试。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,过期节点回传 PASS 被拒绝，不覆盖有效新尝试。,NOT_RUN,,,,
M16-AC03,M16,P1/P2,断网后重复上传结果块不产生重复步骤和附件。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,断网后重复上传结果块不产生重复步骤和附件。,NOT_RUN,,,,
M16-AC04,M16,P1/P2,取消任务后残留子进程被终止或明确报告人工处置。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,取消任务后残留子进程被终止或明确报告人工处置。,NOT_RUN,,,,
M16-AC05,M16,P1/P2,存在外部副作用且结果未知的任务被置为待人工核对，不盲目重跑。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,存在外部副作用且结果未知的任务被置为待人工核对，不盲目重跑。,NOT_RUN,,,,
M17-AC01,M17,P2,同一独占资源的重叠预订只有一项成功。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,同一独占资源的重叠预订只有一项成功。,NOT_RUN,,,,
M17-AC02,M17,P2,夏令时切换日的定时任务按冻结策略执行一次或明确跳过。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,夏令时切换日的定时任务按冻结策略执行一次或明确跳过。,NOT_RUN,,,,
M17-AC03,M17,P2,已禁用节点即使上报在线也不能领取新任务。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,已禁用节点即使上报在线也不能领取新任务。,NOT_RUN,,,,
M17-AC04,M17,P2,等待资源超时产生可解释终态，不无限占位。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,等待资源超时产生可解释终态，不无限占位。,NOT_RUN,,,,
M17-AC05,M17,P2,项目配额耗尽只影响该项目，不阻塞其他租户队列。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,项目配额耗尽只影响该项目，不阻塞其他租户队列。,NOT_RUN,,,,
M18-AC01,M18,P2/P3,重复 Webhook 不会重复创建缺陷或运行记录。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,重复 Webhook 不会重复创建缺陷或运行记录。,NOT_RUN,,,,
M18-AC02,M18,P2/P3,伪造签名及超出时间窗的事件被拒绝并审计。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,伪造签名及超出时间窗的事件被拒绝并审计。,NOT_RUN,,,,
M18-AC03,M18,P2/P3,两侧同时修改受控字段进入冲突队列而不是静默丢失。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,两侧同时修改受控字段进入冲突队列而不是静默丢失。,NOT_RUN,,,,
M18-AC04,M18,P2/P3,外部 API 限流后重试可恢复且不会阻塞主交易。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,外部 API 限流后重试可恢复且不会阻塞主交易。,NOT_RUN,,,,
M18-AC05,M18,P2/P3,外部凭据撤销后及时停止同步，界面提示原因但不泄露令牌。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,外部凭据撤销后及时停止同步，界面提示原因但不泄露令牌。,NOT_RUN,,,,
M19-AC01,M19,P0/P1/P2/P3,同一批数据重复导入两次，目标实体、关系和附件数量不增加。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,同一批数据重复导入两次，目标实体、关系和附件数量不增加。,NOT_RUN,,,,
M19-AC02,M19,P0/P1/P2/P3,断在目标提交后、检查点更新前可安全重放。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,断在目标提交后、检查点更新前可安全重放。,NOT_RUN,,,,
M19-AC03,M19,P0/P1/P2/P3,所有源对象有迁移、隔离、合规保留或明确不支持四类可解释去向。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,所有源对象有迁移、隔离、合规保留或明确不支持四类可解释去向。,NOT_RUN,,,,
M19-AC04,M19,P0/P1/P2/P3,历史版本、时区、作者、附件与签名来源不被伪造。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,历史版本、时区、作者、附件与签名来源不被伪造。,NOT_RUN,,,,
M19-AC05,M19,P0/P1/P2/P3,恢复演练能够处理上线后新写入数据，而不仅恢复切换前备份。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,恢复演练能够处理上线后新写入数据，而不仅恢复切换前备份。,NOT_RUN,,,,
M20-AC01,M20,P2/P3,升级模板不会覆盖项目已批准的本地差异。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,升级模板不会覆盖项目已批准的本地差异。,NOT_RUN,,,,
M20-AC02,M20,P2/P3,源库和目标库同时修改同一步骤会触发冲突。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,源库和目标库同时修改同一步骤会触发冲突。,NOT_RUN,,,,
M20-AC03,M20,P2/P3,同步中断恢复后不会重复创建本地资产或关联。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,同步中断恢复后不会重复创建本地资产或关联。,NOT_RUN,,,,
M20-AC04,M20,P2/P3,源项目撤权后不可再拉取新版本，旧证据按保留策略处理。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,源项目撤权后不可再拉取新版本，旧证据按保留策略处理。,NOT_RUN,,,,
M20-AC05,M20,P2/P3,脱离模板后的脚本执行符合冻结的目标行为并保留来源。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,脱离模板后的脚本执行符合冻结的目标行为并保留来源。,NOT_RUN,,,,
M21-AC01,M21,P3,嵌套流程形成环时编译失败并指明环路径。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,嵌套流程形成环时编译失败并指明环路径。,NOT_RUN,,,,
M21-AC02,M21,P3,多次迭代参数互不污染，结果可定位到迭代和组件。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,多次迭代参数互不污染，结果可定位到迭代和组件。,NOT_RUN,,,,
M21-AC03,M21,P3,组件新版本发布后旧业务测试运行仍用固定旧版本。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,组件新版本发布后旧业务测试运行仍用固定旧版本。,NOT_RUN,,,,
M21-AC04,M21,P3,删除被引用组件被阻止或按明确差异策略处理。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,删除被引用组件被阻止或按明确差异策略处理。,NOT_RUN,,,,
M21-AC05,M21,P3,纳入范围的外部工具特性有真实执行证据而不是仅展示按钮。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,纳入范围的外部工具特性有真实执行证据而不是仅展示按钮。,NOT_RUN,,,,
M22-AC01,M22,P2/P3,含外部实体的 BPMN/XML 文件被安全拒绝。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,含外部实体的 BPMN/XML 文件被安全拒绝。,NOT_RUN,,,,
M22-AC02,M22,P2/P3,不支持元素不会在导入后无提示消失。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,不支持元素不会在导入后无提示消失。,NOT_RUN,,,,
