api_id,module_id,method,path,kind,authorization,write_safety,contract_status
M13-API02,M13,POST,/api/v1/projects/{projectId}/workflows/{workflowId}/validate,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M13-API03,M13,POST,/api/v1/projects/{projectId}/workflows/{workflowId}/publish,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M14-API01,M14,POST,/api/v1/projects/{projectId}/baselines,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M14-API02,M14,GET,/api/v1/projects/{projectId}/baselines/{baselineId}/diff,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,只读且权限过滤,TO_BE_REFINED_PER_ISSUE
M14-API03,M14,POST,/api/v1/projects/{projectId}/test-sets/{setId}/pin,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M15-API01,M15,POST,/api/v1/projects/{projectId}/reports,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M15-API02,M15,POST,/api/v1/reports/cross-project,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M15-API03,M15,GET,/api/v1/projects/{projectId}/dashboards/{dashboardId},PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,只读且权限过滤,TO_BE_REFINED_PER_ISSUE
M16-API01,M16,POST,/api/v1/agent-enrollments,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M16-API02,M16,POST,/api/v1/agents/{agentId}/claim,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M16-API03,M16,POST,/api/v1/agents/{agentId}/heartbeat,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M16-API04,M16,POST,/api/v1/attempts/{attemptId}/result-chunks,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M17-API01,M17,POST,/api/v1/projects/{projectId}/reservations,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M17-API02,M17,POST,/api/v1/projects/{projectId}/schedules,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M17-API03,M17,POST,/api/v1/projects/{projectId}/schedules/{scheduleId}/cancel,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M18-API01,M18,POST,/api/v1/projects/{projectId}/connectors,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M18-API02,M18,POST,/api/v1/webhooks/{connectorId},PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M18-API03,M18,POST,/api/v1/projects/{projectId}/connectors/{connectorId}/reconcile,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M19-API01,M19,POST,/api/v1/migrations,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M19-API02,M19,POST,/api/v1/migrations/{migrationId}/validate,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M19-API03,M19,POST,/api/v1/migrations/{migrationId}/resume,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M19-API04,M19,GET,/api/v1/migrations/{migrationId}/reconciliation,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,只读且权限过滤,TO_BE_REFINED_PER_ISSUE
M20-API01,M20,POST,/api/v1/project-templates,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M20-API02,M20,POST,/api/v1/projects/{projectId}/template-upgrades/preview,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M20-API03,M20,POST,/api/v1/projects/{projectId}/library-imports,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M21-API01,M21,POST,/api/v1/projects/{projectId}/business-components,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M21-API02,M21,POST,/api/v1/projects/{projectId}/business-flows,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M21-API03,M21,POST,/api/v1/projects/{projectId}/business-flows/{flowId}/compile,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M22-API01,M22,POST,/api/v1/projects/{projectId}/business-models,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M22-API02,M22,POST,/api/v1/projects/{projectId}/risk-assessments,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M22-API03,M22,POST,/api/v1/projects/{projectId}/test-selection/previews,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M23-API01,M23,POST,/api/v1/projects/{projectId}/offline-packages,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M23-API02,M23,POST,/api/v1/projects/{projectId}/offline-sync,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M23-API03,M23,GET,/api/v1/client-capabilities,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,只读且权限过滤,TO_BE_REFINED_PER_ISSUE
M26-API01,M26,POST,/api/v1/projects/{projectId}/signature-requests,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M26-API02,M26,POST,/api/v1/projects/{projectId}/signature-requests/{requestId}/sign,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M26-API03,M26,GET,/api/v1/projects/{projectId}/evidence-bundles/{bundleId},PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,只读且权限过滤,TO_BE_REFINED_PER_ISSUE
M27-API01,M27,POST,/api/v1/projects/{projectId}/ai-jobs,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M27-API02,M27,POST,/api/v1/projects/{projectId}/ai-jobs/{jobId}/approve,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M27-API03,M27,GET,/api/v1/projects/{projectId}/ai-jobs/{jobId}/provenance,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,只读且权限过滤,TO_BE_REFINED_PER_ISSUE
M28-API01,M28,GET,/api/v1/admin/diagnostics,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,只读且权限过滤,TO_BE_REFINED_PER_ISSUE
M28-API02,M28,POST,/api/v1/admin/support-bundles,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M28-API03,M28,POST,/api/v1/admin/entitlements,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M28-API04,M28,POST,/api/v1/admin/project-maintenance-jobs,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M30-API01,M30,GET,/internal/metrics,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,只读且权限过滤,TO_BE_REFINED_PER_ISSUE
M30-API02,M30,GET,/health/ready,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,只读且权限过滤,TO_BE_REFINED_PER_ISSUE
M30-API03,M30,POST,/internal/maintenance/drain,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
