scope_id,module_id,target_behavior,basis,classification,priority,phase,work_package,acceptance_ids,target_version,approval,status,evidence
SC-M04-02,M04,将类型校验写入共享服务，所有页面、API、导入、同步和脚本复用；扩展值采用 JSONB，重要索引通过受控数据库迁移增加。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M04-T02,M04-AC01;M04-AC02;M04-AC03;M04-AC04;M04-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M04-03,M04,实现选项层级、级联列表与废弃选项；已有记录保留历史标签或选项版本，不因重命名让历史报告失去含义。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M04-T03,M04-AC01;M04-AC02;M04-AC03;M04-AC04;M04-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M04-04,M04,实现声明式表单布局及字段级脱敏；富文本净化同时在写入与展示边界执行，附件链接不能注入脚本。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M04-T04,M04-AC01;M04-AC02;M04-AC03;M04-AC04;M04-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M04-05,M04,查询使用类型化 AST 和参数绑定，限制嵌套、查询时间、返回行数和允许排序字段；禁止向普通用户暴露 SQL 编辑器。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M04-T05,M04-AC01;M04-AC02;M04-AC03;M04-AC04;M04-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M04-06,M04,字段变更先预检数据，分批回填后切换 schema_revision；失败时保留旧版本。保存的过滤器在字段停用时给出可修复错误而不是悄悄改义。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M04-T06,M04-AC01;M04-AC02;M04-AC03;M04-AC04;M04-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M05-01,M05,创建带状态的上传会话，校验大小、配额、扩展名和实际内容类型；对象路径由服务端生成，不使用客户文件名拼接存储路径。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M05-T01,M05-AC01;M05-AC02;M05-AC03;M05-AC04;M05-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M05-02,M05,采用隔离区上传、哈希校验、恶意文件扫描、可用区发布四步；扫描失败或超时的资源不得被测试执行节点下载。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M05-T02,M05-AC01;M05-AC02;M05-AC03;M05-AC04;M05-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M05-03,M05,资产身份与文件版本分离；版本绑定大小、SHA-256、对象版本 ID、来源、创建人和保留期限，基线与运行只引用确定版本。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M05-T03,M05-AC01;M05-AC02;M05-AC03;M05-AC04;M05-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M05-04,M05,按主体和资源权限发放短时下载凭证；严格保密场景经代理下载并检查撤权，不承诺已发出的预签名 URL 能即时撤销。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M05-T04,M05-AC01;M05-AC02;M05-AC03;M05-AC04;M05-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M05-05,M05,实现分片续传、同租户去重和配额统计；不得以跨租户哈希命中向用户泄露其他租户持有的文件。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M05-T05,M05-AC01;M05-AC02;M05-AC03;M05-AC04;M05-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M05-06,M05,设计两阶段删除：逻辑删除后检查基线、运行、签名和保留锁引用，达到策略后再垃圾回收；备份验证同时覆盖对象和数据库清单。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M05-T06,M05-AC01;M05-AC02;M05-AC03;M05-AC04;M05-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M06-01,M06,实现发布与周期树、日期边界、负责人、标签；关联使用 ID，不用显示名称当主键，归档后禁止重新解释历史范围。,R10；高级规划能力按 R01 及实机盘点,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M06-T01,M06-AC01;M06-AC02;M06-AC03;M06-AC04;M06-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M06-02,M06,建立发布范围表，显式关联需求、计划测试实例和构建；同一资产参与多个周期时分别保存作用域。,R10；高级规划能力按 R01 及实机盘点,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M06-T02,M06-AC01;M06-AC02;M06-AC03;M06-AC04;M06-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M06-03,M06,设计里程碑目标，包括需求覆盖、已执行比例、有效通过比例和未关闭缺陷；每个指标保存分子分母、过滤条件与口径版本。,R10；高级规划能力按 R01 及实机盘点,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M06-T03,M06-AC01;M06-AC02;M06-AC03;M06-AC04;M06-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M06-04,M06,实现范围变更申请与影响预览；增加或移除需求不能直接重写已经签批的规划快照。,R10；高级规划能力按 R01 及实机盘点,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M06-T04,M06-AC01;M06-AC02;M06-AC03;M06-AC04;M06-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M06-05,M06,实现项目规划看板、延期预警及计划对比；日期以用户时区展示，以 UTC 保存事件时间，业务日期单独存 date。,R10；高级规划能力按 R01 及实机盘点,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M06-T05,M06-AC01;M06-AC02;M06-AC03;M06-AC04;M06-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M06-06,M06,生成里程碑评估快照和审批证据；阻塞项显示原始数据链接，禁止以平均分掩盖关键缺陷。,R10；高级规划能力按 R01 及实机盘点,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M06-T06,M06-AC01;M06-AC02;M06-AC03;M06-AC04;M06-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M07-01,M07,创建需求稳定 ID、显示编号与不可变修订表；目录使用 parent_id 和受控移动操作，检测循环和跨项目挂接。,R10、R03,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M07-T01,M07-AC01;M07-AC02;M07-AC03;M07-AC04;M07-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M07-02,M07,实现需求类型、富文本、附件、优先级、业务风险和负责人的表单及批量编辑；批量编辑返回每项成功或失败而非假装全成功。,R10、R03,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M07-T02,M07-AC01;M07-AC02;M07-AC03;M07-AC04;M07-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M07-03,M07,所有变更校验 If-Match 版本；保存时同时写当前指针、修订、审计与 outbox，失败时整体回滚。,R10、R03,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M07-T03,M07-AC01;M07-AC02;M07-AC03;M07-AC04;M07-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M07-04,M07,实现评审发起、意见、返工、批准与变更后重评；评审绑定修订而非永远指向最新内容。,R10、R03,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M07-T04,M07-AC01;M07-AC02;M07-AC03;M07-AC04;M07-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M07-05,M07,接入覆盖关系和需求间追踪；内容变化按版本差异标记受影响关系可疑，不自动宣布所有已关联测试已验证新需求。,R10、R03,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M07-T05,M07-AC01;M07-AC02;M07-AC03;M07-AC04;M07-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M07-06,M07,完成树懒加载、快速搜索、批量导入和 Excel 导出；大任务异步执行并校验下载者当时权限。,R10、R03,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M07-T06,M07-AC01;M07-AC02;M07-AC03;M07-AC04;M07-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M08-01,M08,拆分测试身份、修订、步骤与参数；步骤使用稳定 step_key 和顺序值，不以数组下标标识历史步骤。,R10、R03,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M08-T01,M08-AC01;M08-AC02;M08-AC03;M08-AC04;M08-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M08-02,M08,实现步骤编辑、拖拽排序、预期结果、资源关联、复制和批量维护；复制生成新身份并记录来源，不共享可变步骤。,R10、R03,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M08-T02,M08-AC01;M08-AC02;M08-AC03;M08-AC04;M08-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M08-03,M08,实现测试配置与数据集，采用显式的参数优先级：实例覆盖、配置值、用例默认；敏感参数保存密钥引用而非明文。,R10、R03,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M08-T03,M08-AC01;M08-AC02;M08-AC03;M08-AC04;M08-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M08-04,M08,支持被调用测试及参数映射；保存与执行前同时检查依赖图循环、缺失参数和版本约束；限制递归深度。,R10、R03,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M08-T04,M08-AC01;M08-AC02;M08-AC03;M08-AC04;M08-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M08-05,M08,实现版本差异、检出锁与发布修订；锁只保护编辑流程，不能替代数据库乐观并发控制。,R10、R03,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M08-T05,M08-AC01;M08-AC02;M08-AC03;M08-AC04;M08-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M08-06,M08,向执行系统输出 ExecutionManifest，固定测试修订、展开后的步骤、配置快照和资产哈希；历史运行不再读取最新用例。,R10、R03,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M08-T06,M08-AC01;M08-AC02;M08-AC03;M08-AC04;M08-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M09-01,M09,建立测试集目录与测试实例，实例引用用例修订策略、配置、负责人、顺序和周期；禁止将结果只写回用例。,R10,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M09-T01,M09-AC01;M09-AC02;M09-AC03;M09-AC04;M09-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M09-02,M09,启动运行前解析并保存不可变 manifest；同时冻结字段 schema 与流程版本，用于解释当时的校验和状态。,R10,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M09-T02,M09-AC01;M09-AC02;M09-AC03;M09-AC04;M09-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M09-03,M09,实现逐步执行、实际结果、证据上传、暂停、继续和缺陷创建；手工运行的操作以事件或增量版本保存，断网时明确提示未同步。,R10,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M09-T03,M09-AC01;M09-AC02;M09-AC03;M09-AC04;M09-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M09-04,M09,将执行状态与业务结论拆开：QUEUED/RUNNING/FINISHED 等是执行状态，PASS/FAIL/BLOCKED 等是测试结论，基础设施错误另有分类。,R10,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M09-T04,M09-AC01;M09-AC02;M09-AC03;M09-AC04;M09-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M09-05,M09,重跑创建新 RunAttempt；测试实例的“最新结果”是带规则的投影，不能删除之前失败尝试；完成运行后更正走追加记录和审核。,R10,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M09-T05,M09-AC01;M09-AC02;M09-AC03;M09-AC04;M09-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M09-06,M09,实现测试集汇总、运行详情及审计导出；统计区分未执行、执行中、阻塞和失败，提供稳定的实例及尝试分母。,R10,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M09-T06,M09-AC01;M09-AC02;M09-AC03;M09-AC04;M09-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M10-01,M10,实现缺陷编号、标题、严重度、优先级、复现步骤、环境、检测及修复版本；状态枚举配置化，但转换由服务端状态机校验。,R10,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M10-T01,M10-AC01;M10-AC02;M10-AC03;M10-AC04;M10-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M10-02,M10,从运行步骤创建缺陷时绑定原始运行、步骤和证据版本；创建与关联使用同一幂等事务，避免网络重试重复提单。,R10,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M10-T02,M10-AC01;M10-AC02;M10-AC03;M10-AC04;M10-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M10-03,M10,实现分派、修复、待验证、关闭和重新打开；关闭条件可以要求复测证据，废弃和重复缺陷使用独立理由。,R10,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M10-T03,M10-AC01;M10-AC02;M10-AC03;M10-AC04;M10-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M10-04,M10,评论、关注和通知经过权限与内容净化；评论删除采用可审计策略，敏感信息更正另行授权，不能默默抹除历史。,R10,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M10-T04,M10-AC01;M10-AC02;M10-AC03;M10-AC04;M10-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M10-05,M10,实现看板、批量操作、相似缺陷提示及跨项目共享入口；共享以授权副本或明确联邦关系实现，不开放源项目全部数据。,R10,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M10-T05,M10-AC01;M10-AC02;M10-AC03;M10-AC04;M10-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M10-06,M10,建立缺陷年龄、重开率和关闭趋势等口径；明确重复缺陷、时区、状态暂停区间是否纳入，报表附可追溯列表。,R10,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M10-T06,M10-AC01;M10-AC02;M10-AC03;M10-AC04;M10-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M11-01,M11,所有可追踪对象注册到实体身份表；关系端点校验项目、类型、有效状态和权限，不使用无法校验的随意字符串。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M11-T01,M11-AC01;M11-AC02;M11-AC03;M11-AC04;M11-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M11-02,M11,定义需求到需求、需求到测试、运行到缺陷等有向关系；区分“关联存在”和“最新需求已验证”的业务语义。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M11-T02,M11-AC01;M11-AC02;M11-AC03;M11-AC04;M11-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M11-03,M11,记录关系修订及端点修订；变更影响通过 outbox 投影计算，写入 suspect 状态及原因，用户确认记录确认的版本。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M11-T03,M11-AC01;M11-AC02;M11-AC03;M11-AC04;M11-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M11-04,M11,实现覆盖矩阵和影响图，提供分页、深度和节点数量限制；大型图展示摘要与筛选，不能一次向浏览器返回全库。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M11-T04,M11-AC01;M11-AC02;M11-AC03;M11-AC04;M11-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M11-05,M11,维护关系完整性巡检与修复队列；资产归档时关系转为历史状态，禁止物理级联删除已经用于审计的链路。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M11-T05,M11-AC01;M11-AC02;M11-AC03;M11-AC04;M11-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M11-06,M11,冻结需求覆盖、设计覆盖、执行覆盖和通过覆盖四种口径，按周期或基线筛选；投影延迟需要展示 watermark。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M11-T06,M11-AC01;M11-AC02;M11-AC03;M11-AC04;M11-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M12-01,M12,先定义导入映射、预览和验证阶段，再执行批次提交；逐行报告原始行号、错误码和修复建议；重复上传使用业务键或显式创建模式。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M12-T01,M12-AC01;M12-AC02;M12-AC03;M12-AC04;M12-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M12-02,M12,导出任务保存筛选条件、数据快照和权限范围；下载时再校验权限，过期文件删除；CSV/Excel 防公式注入。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M12-T02,M12-AC01;M12-AC02;M12-AC03;M12-AC04;M12-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M12-03,M12,通知由 outbox 驱动，采用接收人、事件和模板版本去重；邮件只发送最小必要信息，不把保密附件公开挂链。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M12-T03,M12-AC01;M12-AC02;M12-AC03;M12-AC04;M12-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M12-04,M12,搜索先以数据库实现，再按容量拆分索引；索引记录项目权限标签和修订水位，撤权立即由主服务二次过滤。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M12-T04,M12-AC01;M12-AC02;M12-AC03;M12-AC04;M12-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
