sprint,phase,week_start,week_end,goal,module_slices,deliverables,entry_rule,exit_rule,planned_capacity,status
S26,P2,51,52,更多执行适配器与凭据隔离,M16,适配器合规及秘密引用,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S27,P2,53,54,运行取消、重试与证据上传,M16,乱序、重复和迟到结果,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S28,P2,55,56,实验室容量与资源预订,M17,时间区间竞争测试,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S29,P2,57,58,条件调度、周期任务和依赖,M17,夏令时、错过执行和资源冲突,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S30,P2,59,60,发布规划、风险及质量目标,M06;M22,固定分母及目标规则,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S31,P2,61,62,业务视图和跨项目报表,M15,权限缓存、指标对账,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S32,P2,63,64,外部缺陷/构建连接器,M18,重放、限流及同步循环测试,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S33,P2,65,66,SSO、目录与管理工具,M03;M28,停用账号、项目归档和诊断,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S34,P2,67,68,签名与审计证据链基础,M26,修订哈希及签署身份,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S35,P2,69,70,完整迁移映射与全量演练,M19,数量、关系、附件和历史报告对账,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S36,P2,71,72,增量迁移、删除与冲突演练,M19,检查点、来源删除和切换条件,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S37,P2,73,74,安全、备份及企业试点准备,M29;M30,恢复演练及安全阻断关闭,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S38,P2,75,76,企业项目 UAT 与问题收敛,M31,用户任务复跑与差异确认,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S39,P2,77,78,G2 企业版评审与阶段交接,M31;M32,企业版证据、后续完整范围,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S40,P3,79,80,兼容实验室及版本矩阵复核,M24;M25,目标端样本和合法使用记录,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S41,P3,81,82,项目 REST 认证、元数据与查询,M24,分页、空值、过滤与错误对比,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S42,P3,83,84,项目 REST 写入、锁和附件,M24,幂等、副作用和冲突一致性,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S43,P3,85,86,站点管理 REST 与 COM 契约,M24;M25,管理操作授权及隔离,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S44,P3,87,88,OTA COM 类型、工厂与集合,M25,真实调用样本行为,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S45,P3,89,90,OTA 字段、锁、提交与异常,M25,异常码和事务边界验证,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S46,P3,91,92,VBScript 解析及规则转换,M25;M13,支持子集及人工改写分类,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S47,P3,93,94,VBScript 事件对象与调用顺序,M25,模板/项目事件轨迹对比,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S48,P3,95,96,原客户端与第三方插件专项,M23;M25,实际客户端结果和不支持项,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S49,P3,97,98,BPT 组件生命周期与参数,M21,组件版本、复用及约束,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S50,P3,99,100,BPT 流程组合与数据绑定,M21,循环、嵌套和参数校验,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S51,P3,101,102,BPT 执行适配及修改影响,M21;M16,固定组件版本的结果归档,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S52,P3,103,104,业务流程模型导入与映射,M22,模型节点关系与错误定位,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S53,P3,105,106,风险规划与构建健康分析,M22;M15,指标定义、缺数及构建映射,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S54,P3,107,108,离线包生成、加密与授权,M23,版本固定、过期及撤权策略,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S55,P3,109,110,离线执行、同步冲突及重复回传,M23,冲突保留与历史归属,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S56,P3,111,112,签名复核、保留及审计导出,M26,真实签署事件与迁入证据分离,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S57,P3,113,114,AI 数据隔离与评估集,M27,权限检索、无训练泄漏声明边界,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S58,P3,115,116,AI 辅助建议与人工审查,M27,错误建议和生成证据隔离,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S59,P3,117,118,扩展管理、许可与诊断工具,M28,升级、禁用及授权有效性,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S60,P3,119,120,复杂跨项目复用与全域管理,M20;M28,冲突、安全及管理边界,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S61,P3,121,122,复杂历史迁移和不可提取证据,M19,基线、作者、时区和签名去向,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S62,P3,123,124,大数据量迁移与停写切换排演,M19;M30,窗口实测及恢复后新写入,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S63,P3,125,126,全扩展与真实客户兼容联调,M18;M21;M23;M24;M25,端到端兼容矩阵,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S64,P3,127,128,差异关闭与长期回归样本固化,M25;M31,未解项、负责人及截止条件,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S65,P3,129,130,G3 高级能力与兼容评审,M31;M32,分项证据；不能以比例掩盖缺项,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S66,P4,131,132,全量范围和证据缺口审计,M32,全部 MUST 到实现和测试链路,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S67,P4,133,134,容量模型、压测数据与脚本,M30,参考负载、硬件及重现命令,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S68,P4,135,136,核心事务、查询与导出性能,M30,p95、错误率和资源瓶颈,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S69,P4,137,138,连续运行与资源泄漏治理,M30,长稳、队列及存储增长,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S70,P4,139,140,安全测试和依赖供应链审计,M29,越权、秘密、脚本和依赖修复,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S71,P4,141,142,备份恢复、灾难切换演练,M30,RPO/RTO 实测和数据一致性,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S72,P4,143,144,安装器、离线部署及升级回退,M28;M30,从空环境和旧版本独立部署,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S73,P4,145,146,生产规模迁移彩排与业务对账,M19;M31,切换及恢复后数据保护,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S74,P4,147,148,全客户端、扩展和兼容矩阵回归,M23;M24;M25;M32,真实样本全量通过证据,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S75,P4,149,150,独立业务 UAT 与培训,M31,用户角色实操及验收签批,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S76,P4,151,152,文档、支持手册及发行候选,M28;M32,构建签名、SBOM 和已知差异,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S77,P4,153,154,上线切换、观察与问题关闭,M19;M30;M31,上线记录、告警和回退判据,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S78,P4,155,156,G4 完整验收与维护移交,M32,MUST 全部证据、所有未解项处置,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
